id,topic,subject
1115,fcfs,Operating System
1923,dml,Database Management System
835,jdbc,Object_oriented_programing
1866,joints,Database Management System
1125,buffering,Operating System
819,applet,Object_oriented_programing
1291,deadlock,Operating System
1900,ddl,Database Management System
688,polymorphism,Object_oriented_programing
1059,caching,Operating System
811,thread,Object_oriented_programing
1197,security,Operating System
999,scheduling,Operating System
480,Inheritance,Object_oriented_programing
648,encapsulation,Object_oriented_programing
1771,transaction,Database Management System
127,Object,Object_oriented_programing
2383,sql,Database Management System
1376,keys,Database Management System
